,,Year of death registration [note 3],,,,,,,,,,,,,,,,,,,,
"Area code 
","Local Authority District 
",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
E07000202,Ipswich,16,10,12,12,13,15,7,10,22,14,16,14,12,13,11,10,12,5,15,15,9
E07000203,Mid Suffolk,8,12,10,12,8,8,9,9,5,7,11,6,8,14,7,3,10,6,7,3,12
E07000245,West Suffolk,18,17,7,18,7,12,9,15,16,15,16,20,20,16,12,10,13,9,13,10,14
E09000007,Camden,9,27,19,30,20,15,20,23,18,12,18,14,20,24,33,25,27,38,30,25,25
E09000001,City of London,0,1,2,1,1,0,1,2,1,1,3,1,0,1,0,2,0,1,1,0,1
E09000012,Hackney ,17,26,13,18,22,18,24,10,25,16,13,24,27,31,18,24,17,20,17,18,28
E09000013,Hammersmith and Fulham ,34,20,16,20,14,17,19,9,14,19,14,18,11,21,19,14,24,19,12,17,22
E09000014,Haringey,13,15,22,18,25,12,27,31,15,28,21,22,23,23,21,18,21,18,25,21,27
E09000019,Islington,14,13,14,18,22,13,18,16,27,12,13,28,19,24,17,26,27,36,26,30,25
E09000020,Kensington and Chelsea,17,15,11,13,14,14,12,12,13,12,9,10,13,11,11,13,19,20,17,17,18
E09000022,Lambeth ,9,10,26,15,22,21,33,19,16,22,24,10,26,21,17,29,22,25,29,23,27
E09000023,Lewisham ,17,18,27,24,17,25,20,15,22,23,24,15,18,22,13,10,24,22,19,24,17
E09000025,Newham ,20,23,11,21,24,19,25,23,16,21,15,15,27,19,15,22,16,21,23,12,22
E09000028,Southwark,13,23,34,17,19,14,32,31,15,23,18,21,22,20,24,22,24,24,33,26,20
E09000030,Tower Hamlets,25,16,17,30,20,20,20,23,24,21,14,20,12,18,33,24,10,19,18,27,22
E09000032,Wandsworth,21,18,21,22,23,23,24,21,19,19,31,15,21,16,16,24,26,20,30,31,24
E09000033,Westminster,15,21,15,11,15,14,20,17,14,23,28,19,16,21,24,16,34,22,26,27,30
E09000002,Barking and Dagenham,17,14,13,8,11,10,11,13,8,13,10,6,14,16,14,6,6,8,8,12,12
E09000003,Barnet,10,18,22,18,26,23,36,32,16,20,22,29,18,17,28,22,24,21,25,23,23
E09000004,Bexley,12,13,22,18,17,17,17,14,25,18,16,15,10,12,15,22,12,20,18,14,15
E09000005,Brent ,16,14,17,28,16,20,28,25,21,18,20,20,23,21,19,17,14,18,22,20,23
E09000006,Bromley,13,7,23,22,19,15,21,28,19,25,22,22,15,26,19,22,17,24,25,22,24
E09000008,Croydon,20,16,26,42,25,26,19,36,22,25,21,19,15,10,24,39,25,20,26,20,18
E09000009,Ealing,25,25,33,33,12,31,42,12,14,22,40,32,26,21,22,22,38,26,23,33,17
E09000010,Enfield,12,18,14,17,19,17,21,13,22,15,14,18,17,21,6,10,20,21,24,25,29
E09000011,Greenwich,14,12,21,25,13,13,29,14,7,14,19,14,24,17,19,27,26,18,16,14,18
E09000015,Harrow,12,12,10,11,12,20,21,13,11,9,15,9,14,15,17,12,15,17,15,20,18
E09000016,Havering,23,20,14,19,14,18,15,19,13,14,21,19,15,16,13,14,10,7,14,14,11
E09000017,Hillingdon,24,19,27,36,11,27,45,8,20,22,20,20,22,23,13,21,17,16,32,23,24
E09000018,Hounslow,17,19,27,30,14,25,29,6,8,23,13,20,27,22,21,19,18,22,10,22,16
E09000021,Kingston upon Thames,11,7,18,17,12,16,12,4,7,10,12,8,9,12,6,7,16,18,8,14,7
E09000024,Merton,10,18,9,11,18,20,13,11,13,18,14,14,11,16,11,9,19,13,18,12,14
E09000026,Redbridge,21,17,19,15,18,17,28,15,15,14,18,21,18,16,11,12,14,18,23,14,12
E09000027,Richmond upon Thames,8,15,14,21,11,12,16,6,9,9,15,20,9,11,4,15,7,13,14,6,12
E09000029,Sutton,14,18,24,15,15,10,14,11,11,17,13,12,16,15,12,10,20,4,16,6,8
E09000031,Waltham Forest,17,15,15,17,27,18,23,20,16,19,15,24,12,12,14,13,11,18,15,17,20
E07000061,Eastbourne,17,18,16,13,11,17,17,8,9,11,13,12,14,12,8,12,14,20,14,15,15
E07000062,Hastings,8,9,12,13,12,13,6,11,15,15,14,13,7,10,10,8,11,16,11,10,10
E07000063,Lewes,10,8,12,12,11,10,7,10,14,6,14,9,10,12,8,12,6,8,13,9,8
E07000064,Rother,6,8,10,8,16,12,8,11,6,6,8,7,4,4,7,6,15,8,8,9,8
E07000065,Wealden,17,12,16,17,17,15,18,21,11,16,16,13,13,6,9,16,12,10,11,15,7
E07000084,Basingstoke and Deane,9,14,10,7,8,14,12,16,8,20,15,13,18,12,17,7,10,10,12,18,12
E07000085,East Hampshire,13,8,14,11,9,8,6,19,11,10,8,9,7,7,3,5,4,12,6,5,7
E07000086,Eastleigh,7,14,12,12,8,10,2,7,7,7,8,7,6,12,9,10,8,5,16,12,11
E07000087,Fareham,9,6,7,8,9,6,8,4,14,10,6,5,12,7,6,9,3,5,5,12,7
E07000088,Gosport,8,7,9,6,11,6,11,5,7,2,7,4,15,3,4,2,8,6,6,6,6
E07000089,Hart,8,7,7,2,5,9,6,8,4,10,7,5,4,3,0,3,5,2,4,2,6
